// 경기명 리스트. 모브 우마무스메 목록도 저 아래 있어서 Ctrl+F로 검색하는걸 추천 //
フェブラリーステークス	페브러리 스테이크스
ジップライナー	집 라이너
シンプトンダッシュ	심프텀 대시
イッツコーリング	이츠 콜링
ステンツ	스텐츠
ミニパンジー	미니 팬지
ブリーズエアシップ	브리즈 에어십
ソワールセレステ	수아르 셀레스테
プレザントクラーク	플레전트 클러크
ジュエルルビー	쥬얼 루비
カイゼルパレス	카이저 팰러스
トンネリングボイス	터널링 보이스
ミントドロップ	민트 드롭
リボンエチュード	리본 에튀드
サードパーティー	서드 파티
テューダーガーデン	튜더 가든
リボンスレノディ	리본 스레너디
マスカレードアイ	매스커레이드 아이
オイシイパルフェ	오이시이 파르페
イレジスティブル	이리지스터블
シャバランケ	스발란케
デュンナ	듀나
ハードコントロール	하드 컨트롤
チーフパーサー	치프 퍼서
クンバカルナ	쿰바카르나
デュオジャヌイヤ	듀오 자누위야
プリスティンソング	프리스틴 송
リードノベル	리드 노블
カーキシュシュ	카키 슈슈
コスモスクレイパー	코스모 스크레이퍼
ショーティショット	쇼티 숏
フリルドベリー	프릴드 베리
ミニデイジー	미니 데이지
レッツジャンプ	레츠 점프
クロニクルオース	크로니클 오스
レッドシュシュ	레드 슈슈
ジュエルエメラルド	쥬얼 에메랄드
カスタネットリズム	캐스터네츠 리듬
ホルンリズム	호른 리듬
オンステージレビュ	온 스테이지 리뷰
ワイズマンレイズ	와이즈 맨 레이즈
デュオタリカー	듀오 타리카
ワクワクリボン	와쿠와쿠 리본
コンプロマイズ	캄프러마이즈
チアーリズム	치어 리듬
オグレッセ	오그레세
ベータキュビズム	베타 큐비즘
ブラボーセカンド	브라보 세컨드
ブームアバング	붐 어 뱅
スレーイン	슬레인
ハートシーザー	하트 시저
チェンバロリズム	쳄발로 리듬
インディゴシュシュ	인디고 슈슈
リボンバラード	리본 발라드
ボヌールソナタ	보누르 소나타
グリーンシュシュ	그린 슈슈
キンダーシャッツ	킨더 셔츠
ヘイストファイア	헤이스트 파이어
スペインジェラート	스페인 젤라토
ドミツィアーナ	도미치아나
クラヴァット	크라바트
ゴールドシュシュ	골드 슈슈
ハイドロチョップ	하이드로 촙
ミニロータス	미니 로터스
コロッセオファイト	콜로세오 파이트
アストレアノーチェ	아스트레아 노체
マリンシーガル	머린 시걸
ストレートバレット	스트레이트 배럿
ジュエルサファイア	쥬얼 사파이어
マリタイムシッパー	매리타임 시퍼
フューダルテニュア	퓨들 테뉴어
ブリッツエクレール	블리츠 에클레르
フリルドチェリー	프릴드 체리
ムーンポップ	문팝
ライフィールド	라이 필드
ルミナスエスクード	루미너스 에스쿠도
ジュエルマラカイト	쥬얼 말라카이트
インディアンブレス	인디언 브레스
リードエスエフ	리드 에스에프
フェニキアディール	페니키아 딜
ドラグーンスピア	드래군 스피어
サニーウェザー	서니 웨더
ユグドラバレー	유그드라 발레
エフェメロン	에페메론
ダークグリモア	다크 그리모어
スプリングハッピー	스프링 해피
インサイトキャッチ	인사이트 캐치
アキナケス	아키나케스
ファイフリズム	파이프 리듬
ターボデトネーター	터보 데터네이터
ユニゾンフラッグ	유니슨 플래그
ビームオブラブ	빔 오브 러브
パライソスカイ	파라이소 스카이
ハートオブスイート	하트 오브 스위트
アニマアニムス	아니마 아니무스
アクアレイク	아쿠아 레이크
フラハラウ	훌라 할라우
ブルックリンアイル	브루클린 아일
リードエッセイ	리드 에세이
イースタンダイナー	이스턴 다이너
ミッシングナイツ	미싱 나이츠
ケミカルウォッシュ	캐미컬 워시
ノワールグリモア	누아르 그리모어
スローモーション	슬로 모션
アザレアボヌール	어제일리어 보누르
ハートスコーチャー	하트 스코처
リボンスケルツォ	리본 스케르초
ジュエルコーラル	쥬얼 코럴
リボンピーアン	리본 피언
マーシレスクイーン	머실러스 퀸
ソルダパシオーネ	솔드아웃
ステートオブアート	스테이트 오브 아트
デュークダムポピー	듀크덤 포피
パラディンソード	팔라딘 소드
ダイアンサスブトン	다이앤서스 부통
ダディーズブーツ	대디즈 부츠
ラブリーパトリシア	러블리 패트리샤
メイクユーガスプ	메이크 유 가스프
バーチューマインド	버추 마인드
エナジェティック	에너제틱
ブリュスクマン	브뤼스크만(비공식 번역)
シュガーニンフェ	슈거 님프(비공식 번역)
ハープアルファ	하프 알파(비공식 번역)
アゲインニード	어게인 니드
カクシバガリバー	카쿠시바 걸리버
ダイコウクンシュ	다이코 쿤슈
カリブミュージック	카리브 뮤직
エルミフライ	에루미 후라이
エターナルロード	이터널 로드
シロイロストーン	시로이로 스톤
ムッシュファミリー	무슈 패밀리
カゴシマオヤシロ	카고시마 오야시로
メイモンパーマー	메이몬 파머
ツイコンドル	츠이 콘도르
ビクトリドラグーン	빅토리 드래군
ミストサンシー	미스트 선시
アズママツシバ	아즈마 마츠시바
ムッシュセラピー	무슈 세러피
カクカロッキー	카쿠카 로키
グッドグッドグッド	굿굿굿
ノカミクレシェンド	노카미 크레셴도
ムッシュチョッピー	무슈 초피
シロイロアロー	시로이로 애로
ギンマクスター	긴마쿠 스타
メイモンマーシャス	메이몬 마르시아스
トップヴィレ	톱 빌레
アカマツビクトリア	아카마츠 빅토리아
ホワイトビューティ	화이트 뷰티
ファムガール	팜 걸
ムッシュシクラメン	무슈 시클라멘
ジョウリュウトップ	조류 톱
リザレクション	레저렉션
ネオスフジマサ	네오스 후지마사
ソングタイム	송 타임
ツチイグローバル	츠치이 글로벌
ハイヤーソーラー	하이어 솔라
センターキャスト	센터 캐스트
ダイユウシュン	다이유 슌
フジソード	후지 소드
キングシン	킹 신
デュオジェット	듀오 제트
チョーイチジョージ	초이치 조지
ハチエノスター	하치에노 스타
パスクール	패스 쿨
スナノレディ	스나노 레이디
メイモンアルダン	메이몬 알단
ワールドタップ	월드 탭
トゥルーバースデー	트루 버스데이
ガールズサニー	걸즈 서니
ゴーゴーメッセージ	고고 메시지
ウィンウィンホーク	윈윈 호크
スカッシュボール	스쿼시 볼
ミョウオウタイセイ	묘오 타이세이
フォスターロード	포스터 로드
ワールドボーガン	월드 보건
フレッシュサンダー	프레시 선더
アセンブリテシオ	어셈블리 테시오
グローバルタフネス	글로벌 터프니스
ツチイミラクル	츠치이 미라클
ササジェネシス	사사 제네시스
サンキノタッツー	산키노 탓츠
アカマツセンター	아카마츠 센터
ミケツトーチ	미케츠 토치
タイガーロケット	타이거 로켓
トヨナカハインリヒ	토요나카 하인리히
セントシンガー	세인트 싱어
スローンズドラコ	스론즈 드라코
グレートチーフ	그레이트 치프
セントライトヴィレ	세인트 라이트 빌레
ファーストルンルン	퍼스트 룬룬
ユニゾンテンニョ	유니슨 텐뇨
アズマノウゴン	아즈마노 우곤
サーセンチュリー	서 센추리
キヨノベロア	키요노 벨루어
キンイロノヒトミ	킨이로노 히토미
ヒストリーフレンド	히스토리 프렌드
アルガママ	아루가마마
エフワンシンボル	에프원 심벌
スターライトジャム	스타라이트 잼
ファムフェール	팜 페일
ユニゾンウイナー	유니슨 위너
オーライパラダイス	오라이 파라다이스
グローバルポール	글로벌 폴
アテンドスター	어텐드 스타
ハルイロマイレージ	하루이로 마일리지
コハクシシ	코하쿠 시시
メイモンシャガール	메이몬 샤갈
シーンマスター	신 마스터
ボンゴエネイヴル	봉고 이네이블
ミサカキッド	미사카 키드
シクラメンシャリブ	시클라멘 샤립
オーランピーク	오란 피크
ハインド	하인드
マインシンバ	마인 신바
デイネルリネーム	데이넬리 네임
インスパイアオビタ	인스파이어 오비타
ディミディ	디미디
ムギトップランナー	무기톱 러너
サタポイント	사타 포인트
ハルイロチトセ	하루이로 치토세
エムティーハリケーン	엠티 허리케인
コネクトハット	커넥트 햇
キヌゲッコウ	키누 겟코
カズタイフーン	카즈 타이푼
サンクスステージ	상크스 스테이지
イイトヨドライブ	이이토요 드라이브
チャリオスカイ	챠리오 스카이
タツノゼアー	타츠노 제아
ハルイログレート	하루이로 그레이트
ビンザオウジ	빈자 오우지
ハルイログローリー	하루이로 글로리
ブラザーセイテイ	브라더 세이테이
グローバルマーズ	글로벌 마스
フジケンウォッチ	후지켄 워치
オーソリティダンス	오솔리티 댄스
アマテラビッグ	아마테라 빅
ポジショントラップ	포지션 트랩
トミヤマヴィクトリ	토미야마 빅토리
ライトニングトップ	라이트닝 톱
デイネルサンダー	데이넬 선더
マイノトランセンド	마이노 트랜센드
トヨナカプレスト	토요나카 프레스트
ヤシュウキング	야슈 킹
オーマルセザール	오말 세자르
クレストカロル	크레스트 카롤
プリテイスティール	프리테이스틸
アズミパレス	아즈미 팰리스
ポーラスター	폴라 스타
インスパイアケント	인스파이어 켄트
ルールモデル	룰 모델
アスパオーロ	어스 파올로
レスペデザシンオー	레스페데 더 신오
ピースフルシネマ	피스풀 시네마
カブトプリンス	카부토 프린스
レモンネック	레몬 넥
ガールズギルシャ	걸즈 그리스
ミソハギリバー	미소하기 리버
アカマツショック	아카마츠 쇼크
ジーズシャープ	지즈 샤프
グローバルスマート	글로벌 스마트
フラッシュフレンド	플래시 프렌드
ツーリズムキング	투어리즘 킹
グッドスイーツ	굿 스위츠
ハイヤードクター	하이어 닥터
ナンソンスルース	낸슨 슬루스
ハンショウワーガー	한쇼 와거
タイジュゴールデン	타이주 골든
オリエントセブン	오리엔트 세븐
エムティーストーム	엠티 스톰
アカマツハチマン	아카마츠 하치만
プラチナオージ	플래티넘 오지
ローズナイト	로즈 나이트
ベルディアゴーゴー	베르디아 고고
ミュートハント	뮤트 헌트
ヒノデフラッグ	히노데 플래그
ヒーローキート	히어로 키트
リメインエルドラ	리메인 엘드라
ソニックラン	소닉 란
ビショクカイタク	비쇼크 카이타쿠
コンストラクタ	콘스트럭터(비공식 번역)
デンアンリターン	덴 언리턴(비공식 번역)
タイジュトウラク	타이쥬 토우라크(비공식 번역)
ルイシロー	루이시로(비공식 번역)
ブライトマーカー	브라이트 마커(비공식 번역)
エルミウォリアー	엘미 워리어(비공식 번역)
メイモンランバート	메이몬 램버트(비공식 번역)
イキイキミドル	이키이키 미들(비공식 번역)
マンパイエンペラー	만파이 엠페러(비공식 번역)
センチメント	센티멘트(비공식 번역)
エスパース	에스파스(비공식 번역)
オオワアドバンス	오오와 어드밴스(비공식 번역)
ブレイブエンペラー	브레이브 엠페러(비공식 번역)
ホーリーグリーム	홀리 그림(비공식 번역)
ランナタイフーン	런너 타이푼(비공식 번역)
ディヴィナゼション	디비너제이션(비공식 번역)
コウマツイナズマ	코마츠 이나즈마(비공식 번역)
マリンホリデー	마린 홀리데이(비공식 번역)
テイクオフスター	테이크 오브 스타(비공식 번역)
ジェットテイル	제트 테일(비공식 번역)
サタブライト	새터브라이트(비공식 번역)
マツヒロチーフ	마츠히로 치프(비공식 번역)
フラッグフラッグ	플래그 플래그(비공식 번역)
ハナガタパーティ	하나가타 파티(비공식 번역)
ウエストボス	웨스트 보스(비공식 번역)
テムコウテイ	템 코테이(비공식 번역)
ダリーヤ	달리아(비공식 번역)
テルプシコラ	테르프 시코라(비공식 번역)
トラオカ	트라오카(비공식 번역)
フラーマウェイ	플러머 웨이(비공식 번역)
レイン	레인(비공식 번역)
ビビッドブルー	비비드 블루(비공식 번역)
ディミラー	디밀러(비공식 번역)
ボルブルー	볼 블루(비공식 번역)
アンバラル	언배럴(비공식 번역)
ライトビジョン	라이트 비전(비공식 번역)
ナイルリップ	나일 립(비공식 번역)
プラムコレクト	플람 콜렉트(비공식 번역)
チューミーモア	츄 미 모어(비공식 번역)
ミントショット	민트 샷(비공식 번역)
ヤンチャベルディア	얀차 베르디아(비공식 번역)
ネイティブヒーロー	네이티브 히어로(비공식 번역)
ハートフルフルーツ	하트풀 프루츠(비공식 번역)
トップオブライズ	톱 오브 라이즈(비공식 번역)
